average,broker_code,date,emiten,id,lot,type,value
"5,399 ",MS,2020-11-02,ASII,ASII-2020-11-02-B-5,"135,247 ",B,73.0 B
"5,448 ",BK,2020-11-02,ASII,ASII-2020-11-02-S-5,"220,201 ",S,120.0 B
"5,577 ",BK,2020-11-02,ASII,ASII-2020-11-02-B-6,"128,544 ",B,71.7 B
"5,367 ",CS,2020-11-02,ASII,ASII-2020-11-02-S-6,"168,196 ",S,90.3 B
"5,561 ",CS,2020-11-02,ASII,ASII-2020-11-02-B-7,"85,267 ",B,47.4 B
"5,372 ",MS,2020-11-02,ASII,ASII-2020-11-02-S-7,"105,241 ",S,56.5 B
"5,466 ",CC,2020-11-02,ASII,ASII-2020-11-02-B-8,"51,672 ",B,28.2 B
"5,556 ",YP,2020-11-02,ASII,ASII-2020-11-02-S-8,"91,299 ",S,50.7 B
"5,492 ",PD,2020-11-02,ASII,ASII-2020-11-02-B-9,"51,655 ",B,28.4 B
"5,654 ",PD,2020-11-02,ASII,ASII-2020-11-02-S-9,"91,089 ",S,51.5 B
"5,399 ",KZ,2020-11-01,ASII,ASII-2020-11-01-B-0,"907,245 ",B,489.8 B
"5,442 ",RX,2020-11-01,ASII,ASII-2020-11-01-S-0,"383,595 ",S,208.8 B
"5,437 ",RX,2020-11-01,ASII,ASII-2020-11-01-B-1,"411,040 ",B,223.5 B
"5,471 ",YU,2020-11-01,ASII,ASII-2020-11-01-S-1,"356,204 ",S,194.9 B
"5,481 ",YU,2020-11-01,ASII,ASII-2020-11-01-B-2,"409,281 ",B,224.3 B
"5,336 ",KZ,2020-11-01,ASII,ASII-2020-11-01-S-2,"346,992 ",S,185.2 B
"5,511 ",ZP,2020-11-01,ASII,ASII-2020-11-01-B-3,"318,397 ",B,175.5 B
"5,452 ",DX,2020-11-01,ASII,ASII-2020-11-01-S-3,"314,817 ",S,171.6 B
"5,555 ",AK,2020-11-01,ASII,ASII-2020-11-01-B-4,"264,068 ",B,146.7 B
"5,514 ",ZP,2020-11-01,ASII,ASII-2020-11-01-S-4,"308,909 ",S,170.3 B
"5,399 ",KZ,2020-11-01,ASII,ASII-2020-11-01-B-0,"907,245 ",B,489.8 B
"5,442 ",RX,2020-11-01,ASII,ASII-2020-11-01-S-0,"383,595 ",S,208.8 B
"5,437 ",RX,2020-11-01,ASII,ASII-2020-11-01-B-1,"411,040 ",B,223.5 B
"5,471 ",YU,2020-11-01,ASII,ASII-2020-11-01-S-1,"356,204 ",S,194.9 B
"5,481 ",YU,2020-11-01,ASII,ASII-2020-11-01-B-2,"409,281 ",B,224.3 B
"5,336 ",KZ,2020-11-01,ASII,ASII-2020-11-01-S-2,"346,992 ",S,185.2 B
"5,511 ",ZP,2020-11-01,ASII,ASII-2020-11-01-B-3,"318,397 ",B,175.5 B
"5,452 ",DX,2020-11-01,ASII,ASII-2020-11-01-S-3,"314,817 ",S,171.6 B
"5,555 ",AK,2020-11-01,ASII,ASII-2020-11-01-B-4,"264,068 ",B,146.7 B
"5,514 ",ZP,2020-11-01,ASII,ASII-2020-11-01-S-4,"308,909 ",S,170.3 B
"5,399 ",MS,2020-11-01,ASII,ASII-2020-11-01-B-5,"135,247 ",B,73.0 B
"5,399 ",MS,2020-11-01,ASII,ASII-2020-11-01-B-5,"135,247 ",B,73.0 B
"5,448 ",BK,2020-11-01,ASII,ASII-2020-11-01-S-5,"220,201 ",S,120.0 B
"5,577 ",BK,2020-11-01,ASII,ASII-2020-11-01-B-6,"128,544 ",B,71.7 B
"5,367 ",CS,2020-11-01,ASII,ASII-2020-11-01-S-6,"168,196 ",S,90.3 B
"5,561 ",CS,2020-11-01,ASII,ASII-2020-11-01-B-7,"85,267 ",B,47.4 B
"5,372 ",MS,2020-11-01,ASII,ASII-2020-11-01-S-7,"105,241 ",S,56.5 B
"5,466 ",CC,2020-11-01,ASII,ASII-2020-11-01-B-8,"51,672 ",B,28.2 B
"5,556 ",YP,2020-11-01,ASII,ASII-2020-11-01-S-8,"91,299 ",S,50.7 B
"5,492 ",PD,2020-11-01,ASII,ASII-2020-11-01-B-9,"51,655 ",B,28.4 B
"5,654 ",PD,2020-11-01,ASII,ASII-2020-11-01-S-9,"91,089 ",S,51.5 B
"5,448 ",BK,2020-11-01,ASII,ASII-2020-11-01-S-5,"220,201 ",S,120.0 B
"5,577 ",BK,2020-11-01,ASII,ASII-2020-11-01-B-6,"128,544 ",B,71.7 B
"5,367 ",CS,2020-11-01,ASII,ASII-2020-11-01-S-6,"168,196 ",S,90.3 B
"5,561 ",CS,2020-11-01,ASII,ASII-2020-11-01-B-7,"85,267 ",B,47.4 B
"5,372 ",MS,2020-11-01,ASII,ASII-2020-11-01-S-7,"105,241 ",S,56.5 B
"5,466 ",CC,2020-11-01,ASII,ASII-2020-11-01-B-8,"51,672 ",B,28.2 B
"5,556 ",YP,2020-11-01,ASII,ASII-2020-11-01-S-8,"91,299 ",S,50.7 B
"5,492 ",PD,2020-11-01,ASII,ASII-2020-11-01-B-9,"51,655 ",B,28.4 B
"5,654 ",PD,2020-11-01,ASII,ASII-2020-11-01-S-9,"91,089 ",S,51.5 B
"5,399 ",KZ,2020-11-02,ASII,ASII-2020-11-02-B-0,"907,245 ",B,489.8 B
"5,442 ",RX,2020-11-02,ASII,ASII-2020-11-02-S-0,"383,595 ",S,208.8 B
"5,437 ",RX,2020-11-02,ASII,ASII-2020-11-02-B-1,"411,040 ",B,223.5 B
"5,471 ",YU,2020-11-02,ASII,ASII-2020-11-02-S-1,"356,204 ",S,194.9 B
"5,481 ",YU,2020-11-02,ASII,ASII-2020-11-02-B-2,"409,281 ",B,224.3 B
"5,336 ",KZ,2020-11-02,ASII,ASII-2020-11-02-S-2,"346,992 ",S,185.2 B
"5,511 ",ZP,2020-11-02,ASII,ASII-2020-11-02-B-3,"318,397 ",B,175.5 B
"5,452 ",DX,2020-11-02,ASII,ASII-2020-11-02-S-3,"314,817 ",S,171.6 B
"5,399 ",KZ,2020-11-02,ASII,ASII-2020-11-02-B-0,"907,245 ",B,489.8 B
"5,442 ",RX,2020-11-02,ASII,ASII-2020-11-02-S-0,"383,595 ",S,208.8 B
"5,437 ",RX,2020-11-02,ASII,ASII-2020-11-02-B-1,"411,040 ",B,223.5 B
"5,471 ",YU,2020-11-02,ASII,ASII-2020-11-02-S-1,"356,204 ",S,194.9 B
"5,481 ",YU,2020-11-02,ASII,ASII-2020-11-02-B-2,"409,281 ",B,224.3 B
"5,336 ",KZ,2020-11-02,ASII,ASII-2020-11-02-S-2,"346,992 ",S,185.2 B
"5,511 ",ZP,2020-11-02,ASII,ASII-2020-11-02-B-3,"318,397 ",B,175.5 B
"5,452 ",DX,2020-11-02,ASII,ASII-2020-11-02-S-3,"314,817 ",S,171.6 B
"5,555 ",AK,2020-11-02,ASII,ASII-2020-11-02-B-4,"264,068 ",B,146.7 B
"5,555 ",AK,2020-11-02,ASII,ASII-2020-11-02-B-4,"264,068 ",B,146.7 B
"5,514 ",ZP,2020-11-02,ASII,ASII-2020-11-02-S-4,"308,909 ",S,170.3 B
"5,399 ",MS,2020-11-02,ASII,ASII-2020-11-02-B-5,"135,247 ",B,73.0 B
"5,448 ",BK,2020-11-02,ASII,ASII-2020-11-02-S-5,"220,201 ",S,120.0 B
"5,577 ",BK,2020-11-02,ASII,ASII-2020-11-02-B-6,"128,544 ",B,71.7 B
"5,367 ",CS,2020-11-02,ASII,ASII-2020-11-02-S-6,"168,196 ",S,90.3 B
"5,561 ",CS,2020-11-02,ASII,ASII-2020-11-02-B-7,"85,267 ",B,47.4 B
"5,372 ",MS,2020-11-02,ASII,ASII-2020-11-02-S-7,"105,241 ",S,56.5 B
"5,466 ",CC,2020-11-02,ASII,ASII-2020-11-02-B-8,"51,672 ",B,28.2 B
"5,556 ",YP,2020-11-02,ASII,ASII-2020-11-02-S-8,"91,299 ",S,50.7 B
"5,492 ",PD,2020-11-02,ASII,ASII-2020-11-02-B-9,"51,655 ",B,28.4 B
"5,654 ",PD,2020-11-02,ASII,ASII-2020-11-02-S-9,"91,089 ",S,51.5 B
"5,514 ",ZP,2020-11-02,ASII,ASII-2020-11-02-S-4,"308,909 ",S,170.3 B
"5,399 ",MS,2020-11-02,ASII,ASII-2020-11-02-B-5,"135,247 ",B,73.0 B
"5,448 ",BK,2020-11-02,ASII,ASII-2020-11-02-S-5,"220,201 ",S,120.0 B
"5,577 ",BK,2020-11-02,ASII,ASII-2020-11-02-B-6,"128,544 ",B,71.7 B
"5,367 ",CS,2020-11-02,ASII,ASII-2020-11-02-S-6,"168,196 ",S,90.3 B
"5,561 ",CS,2020-11-02,ASII,ASII-2020-11-02-B-7,"85,267 ",B,47.4 B
"5,372 ",MS,2020-11-02,ASII,ASII-2020-11-02-S-7,"105,241 ",S,56.5 B
"5,466 ",CC,2020-11-02,ASII,ASII-2020-11-02-B-8,"51,672 ",B,28.2 B
"5,556 ",YP,2020-11-02,ASII,ASII-2020-11-02-S-8,"91,299 ",S,50.7 B
"5,492 ",PD,2020-11-02,ASII,ASII-2020-11-02-B-9,"51,655 ",B,28.4 B
"5,654 ",PD,2020-11-02,ASII,ASII-2020-11-02-S-9,"91,089 ",S,51.5 B
"5,399 ",KZ,2020-11-01,ASII,ASII-2020-11-01-B-0,"907,245 ",B,489.8 B
"5,442 ",RX,2020-11-01,ASII,ASII-2020-11-01-S-0,"383,595 ",S,208.8 B
"5,437 ",RX,2020-11-01,ASII,ASII-2020-11-01-B-1,"411,040 ",B,223.5 B
"5,471 ",YU,2020-11-01,ASII,ASII-2020-11-01-S-1,"356,204 ",S,194.9 B
"5,481 ",YU,2020-11-01,ASII,ASII-2020-11-01-B-2,"409,281 ",B,224.3 B
"5,336 ",KZ,2020-11-01,ASII,ASII-2020-11-01-S-2,"346,992 ",S,185.2 B
"5,511 ",ZP,2020-11-01,ASII,ASII-2020-11-01-B-3,"318,397 ",B,175.5 B
"5,452 ",DX,2020-11-01,ASII,ASII-2020-11-01-S-3,"314,817 ",S,171.6 B
"5,555 ",AK,2020-11-01,ASII,ASII-2020-11-01-B-4,"264,068 ",B,146.7 B
"5,514 ",ZP,2020-11-01,ASII,ASII-2020-11-01-S-4,"308,909 ",S,170.3 B
"5,399 ",MS,2020-11-01,ASII,ASII-2020-11-01-B-5,"135,247 ",B,73.0 B
"5,448 ",BK,2020-11-01,ASII,ASII-2020-11-01-S-5,"220,201 ",S,120.0 B
"5,577 ",BK,2020-11-01,ASII,ASII-2020-11-01-B-6,"128,544 ",B,71.7 B
"5,367 ",CS,2020-11-01,ASII,ASII-2020-11-01-S-6,"168,196 ",S,90.3 B
"5,561 ",CS,2020-11-01,ASII,ASII-2020-11-01-B-7,"85,267 ",B,47.4 B
"5,372 ",MS,2020-11-01,ASII,ASII-2020-11-01-S-7,"105,241 ",S,56.5 B
"5,466 ",CC,2020-11-01,ASII,ASII-2020-11-01-B-8,"51,672 ",B,28.2 B
"5,556 ",YP,2020-11-01,ASII,ASII-2020-11-01-S-8,"91,299 ",S,50.7 B
"5,492 ",PD,2020-11-01,ASII,ASII-2020-11-01-B-9,"51,655 ",B,28.4 B
"5,654 ",PD,2020-11-01,ASII,ASII-2020-11-01-S-9,"91,089 ",S,51.5 B
